Regions,Ethnic group (20 categories),Observation
North East,"Asian, Asian British or Asian Welsh: Bangladeshi",16355
North East,"Asian, Asian British or Asian Welsh: Chinese",14442
North East,"Asian, Asian British or Asian Welsh: Indian",22021
North East,"Asian, Asian British or Asian Welsh: Pakistani",27290
North East,"Asian, Asian British or Asian Welsh: Other Asian",17938
North East,"Black, Black British, Black Welsh, Caribbean or African: African",22066
North East,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",1704
North East,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2865
North East,Mixed or Multiple ethnic groups: White and Asian,12490
North East,Mixed or Multiple ethnic groups: White and Black African,6527
North East,Mixed or Multiple ethnic groups: White and Black Caribbean,5650
North East,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,8604
North East,"White: English, Welsh, Scottish, Northern Irish or British",2397557
North East,White: Irish,8384
North East,White: Gypsy or Irish Traveller,2621
North East,White: Roma,2375
North East,White: Other White,51783
North East,Other ethnic group: Arab,10406
North East,Other ethnic group: Any other ethnic group,15936
North West,"Asian, Asian British or Asian Welsh: Bangladeshi",60859
North West,"Asian, Asian British or Asian Welsh: Chinese",54051
North West,"Asian, Asian British or Asian Welsh: Indian",140413
North West,"Asian, Asian British or Asian Welsh: Pakistani",303611
North West,"Asian, Asian British or Asian Welsh: Other Asian",63751
North West,"Black, Black British, Black Welsh, Caribbean or African: African",126608
North West,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25919
North West,"Black, Black British, Black Welsh, Caribbean or African: Other Black",21391
North West,Mixed or Multiple ethnic groups: White and Asian,47829
North West,Mixed or Multiple ethnic groups: White and Black African,30011
North West,Mixed or Multiple ethnic groups: White and Black Caribbean,46962
North West,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,38443
North West,"White: English, Welsh, Scottish, Northern Irish or British",6019385
North West,White: Irish,61422
North West,White: Gypsy or Irish Traveller,5741
North West,White: Roma,7359
North West,White: Other White,253487
North West,Other ethnic group: Arab,43865
North West,Other ethnic group: Any other ethnic group,66291
Yorkshire and The Humber,"Asian, Asian British or Asian Welsh: Bangladeshi",29018
Yorkshire and The Humber,"Asian, Asian British or Asian Welsh: Chinese",29589
Yorkshire and The Humber,"Asian, Asian British or Asian Welsh: Indian",81322
Yorkshire and The Humber,"Asian, Asian British or Asian Welsh: Pakistani",296437
Yorkshire and The Humber,"Asian, Asian British or Asian Welsh: Other Asian",50689
Yorkshire and The Humber,"Black, Black British, Black Welsh, Caribbean or African: African",80907
Yorkshire and The Humber,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",22736
Yorkshire and The Humber,"Black, Black British, Black Welsh, Caribbean or African: Other Black",14000
Yorkshire and The Humber,Mixed or Multiple ethnic groups: White and Asian,36888
Yorkshire and The Humber,Mixed or Multiple ethnic groups: White and Black African,15644
Yorkshire and The Humber,Mixed or Multiple ethnic groups: White and Black Caribbean,39296
Yorkshire and The Humber,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25189
Yorkshire and The Humber,"White: English, Welsh, Scottish, Northern Irish or British",4431265
Yorkshire and The Humber,White: Irish,25215
Yorkshire and The Humber,White: Gypsy or Irish Traveller,5891
Yorkshire and The Humber,White: Roma,9464
Yorkshire and The Humber,White: Other White,208130
Yorkshire and The Humber,Other ethnic group: Arab,25474
Yorkshire and The Humber,Other ethnic group: Any other ethnic group,53620
East Midlands,"Asian, Asian British or Asian Welsh: Bangladeshi",20980
East Midlands,"Asian, Asian British or Asian Welsh: Chinese",22973
East Midlands,"Asian, Asian British or Asian Welsh: Indian",229831
East Midlands,"Asian, Asian British or Asian Welsh: Pakistani",71038
East Midlands,"Asian, Asian British or Asian Welsh: Other Asian",46281
East Midlands,"Black, Black British, Black Welsh, Caribbean or African: African",83161
East Midlands,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",30828
East Midlands,"Black, Black British, Black Welsh, Caribbean or African: Other Black",15997
East Midlands,Mixed or Multiple ethnic groups: White and Asian,30803
East Midlands,Mixed or Multiple ethnic groups: White and Black African,14341
East Midlands,Mixed or Multiple ethnic groups: White and Black Caribbean,46400
East Midlands,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25703
East Midlands,"White: English, Welsh, Scottish, Northern Irish or British",3882390
East Midlands,White: Irish,27130
East Midlands,White: Gypsy or Irish Traveller,4620
East Midlands,White: Roma,7196
East Midlands,White: Other White,258438
East Midlands,Other ethnic group: Arab,13360
East Midlands,Other ethnic group: Any other ethnic group,48584
West Midlands,"Asian, Asian British or Asian Welsh: Bangladeshi",77518
West Midlands,"Asian, Asian British or Asian Welsh: Chinese",33301
West Midlands,"Asian, Asian British or Asian Welsh: Indian",276030
West Midlands,"Asian, Asian British or Asian Welsh: Pakistani",319165
West Midlands,"Asian, Asian British or Asian Welsh: Other Asian",88250
West Midlands,"Black, Black British, Black Welsh, Caribbean or African: African",146089
West Midlands,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",90192
West Midlands,"Black, Black British, Black Welsh, Caribbean or African: Other Black",32738
West Midlands,Mixed or Multiple ethnic groups: White and Asian,46478
West Midlands,Mixed or Multiple ethnic groups: White and Black African,16011
West Midlands,Mixed or Multiple ethnic groups: White and Black Caribbean,81193
West Midlands,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,34542
West Midlands,"White: English, Welsh, Scottish, Northern Irish or British",4275557
West Midlands,White: Irish,47886
West Midlands,White: Gypsy or Irish Traveller,6207
West Midlands,White: Roma,6809
West Midlands,White: Other White,248565
West Midlands,Other ethnic group: Arab,31790
West Midlands,Other ethnic group: Any other ethnic group,92436
East of England,"Asian, Asian British or Asian Welsh: Bangladeshi",50685
East of England,"Asian, Asian British or Asian Welsh: Chinese",38444
East of England,"Asian, Asian British or Asian Welsh: Indian",136974
East of England,"Asian, Asian British or Asian Welsh: Pakistani",99452
East of England,"Asian, Asian British or Asian Welsh: Other Asian",80314
East of England,"Black, Black British, Black Welsh, Caribbean or African: African",118731
East of England,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",41884
East of England,"Black, Black British, Black Welsh, Caribbean or African: Other Black",24334
East of England,Mixed or Multiple ethnic groups: White and Asian,51448
East of England,Mixed or Multiple ethnic groups: White and Black African,27376
East of England,Mixed or Multiple ethnic groups: White and Black Caribbean,51950
East of England,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,48880
East of England,"White: English, Welsh, Scottish, Northern Irish or British",4972149
East of England,White: Irish,57964
East of England,White: Gypsy or Irish Traveller,8977
East of England,White: Roma,9675
East of England,White: Other White,429599
East of England,Other ethnic group: Arab,15639
East of England,Other ethnic group: Any other ethnic group,70593
London,"Asian, Asian British or Asian Welsh: Bangladeshi",322054
London,"Asian, Asian British or Asian Welsh: Chinese",147520
London,"Asian, Asian British or Asian Welsh: Indian",656272
London,"Asian, Asian British or Asian Welsh: Pakistani",290549
London,"Asian, Asian British or Asian Welsh: Other Asian",401245
London,"Black, Black British, Black Welsh, Caribbean or African: African",697054
London,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",345405
London,"Black, Black British, Black Welsh, Caribbean or African: Other Black",145911
London,Mixed or Multiple ethnic groups: White and Asian,125188
London,Mixed or Multiple ethnic groups: White and Black African,77341
London,Mixed or Multiple ethnic groups: White and Black Caribbean,132555
London,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,170691
London,"White: English, Welsh, Scottish, Northern Irish or British",3239281
London,White: Irish,156333
London,White: Gypsy or Irish Traveller,7031
London,White: Roma,37689
London,White: Other White,1290838
London,Other ethnic group: Arab,139791
London,Other ethnic group: Any other ethnic group,416977
South East,"Asian, Asian British or Asian Welsh: Bangladeshi",39881
South East,"Asian, Asian British or Asian Welsh: Chinese",64329
South East,"Asian, Asian British or Asian Welsh: Indian",241537
South East,"Asian, Asian British or Asian Welsh: Pakistani",145311
South East,"Asian, Asian British or Asian Welsh: Other Asian",159487
South East,"Black, Black British, Black Welsh, Caribbean or African: African",150540
South East,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",43523
South East,"Black, Black British, Black Welsh, Caribbean or African: Other Black",27521
South East,Mixed or Multiple ethnic groups: White and Asian,88106
South East,Mixed or Multiple ethnic groups: White and Black African,38633
South East,Mixed or Multiple ethnic groups: White and Black Caribbean,62087
South East,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,72045
South East,"White: English, Welsh, Scottish, Northern Irish or British",7315058
South East,White: Irish,78219
South East,White: Gypsy or Irish Traveller,16748
South East,White: Roma,12786
South East,White: Other White,586569
South East,Other ethnic group: Arab,29574
South East,Other ethnic group: Any other ethnic group,106109
South West,"Asian, Asian British or Asian Welsh: Bangladeshi",12217
South West,"Asian, Asian British or Asian Welsh: Chinese",26516
South West,"Asian, Asian British or Asian Welsh: Indian",58847
South West,"Asian, Asian British or Asian Welsh: Pakistani",17432
South West,"Asian, Asian British or Asian Welsh: Other Asian",44172
South West,"Black, Black British, Black Welsh, Caribbean or African: African",43318
South West,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",17226
South West,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9070
South West,Mixed or Multiple ethnic groups: White and Asian,34960
South West,Mixed or Multiple ethnic groups: White and Black African,15644
South West,Mixed or Multiple ethnic groups: White and Black Caribbean,33217
South West,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,30253
South West,"White: English, Welsh, Scottish, Northern Irish or British",5008149
South West,White: Irish,31698
South West,White: Gypsy or Irish Traveller,6382
South West,White: Roma,5785
South West,White: Other White,257594
South West,Other ethnic group: Arab,10302
South West,Other ethnic group: Any other ethnic group,38404
Wales,"Asian, Asian British or Asian Welsh: Bangladeshi",15314
Wales,"Asian, Asian British or Asian Welsh: Chinese",14454
Wales,"Asian, Asian British or Asian Welsh: Indian",21070
Wales,"Asian, Asian British or Asian Welsh: Pakistani",17534
Wales,"Asian, Asian British or Asian Welsh: Other Asian",20656
Wales,"Black, Black British, Black Welsh, Caribbean or African: African",19907
Wales,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",3700
Wales,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3947
Wales,Mixed or Multiple ethnic groups: White and Asian,14035
Wales,Mixed or Multiple ethnic groups: White and Black African,8068
Wales,Mixed or Multiple ethnic groups: White and Black Caribbean,13732
Wales,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12763
Wales,"White: English, Welsh, Scottish, Northern Irish or British",2814247
Wales,White: Irish,13214
Wales,White: Gypsy or Irish Traveller,3550
Wales,White: Roma,1843
Wales,White: Other White,82994
Wales,Other ethnic group: Arab,11641
Wales,Other ethnic group: Any other ethnic group,14825
